source,target,relation,cosine_similarity
C (major),Am (minor),outer_clockwise,0.8939528465270996
Am (minor),G (major),outer_clockwise,0.8913691639900208
G (major),Em (minor),outer_clockwise,0.8592206835746765
Em (minor),D (major),outer_clockwise,0.8360591530799866
D (major),Bm (minor),outer_clockwise,0.838149905204773
Bm (minor),A (major),outer_clockwise,0.8682019114494324
A (major),F#m (minor),outer_clockwise,0.8474611043930054
F#m (minor),E (major),outer_clockwise,0.9006617665290833
E (major),C#m (minor),outer_clockwise,0.8953236937522888
C#m (minor),B (major),outer_clockwise,0.8945333957672119
B (major),G#m (minor),outer_clockwise,0.8972859978675842
G#m (minor),F# (major),outer_clockwise,0.8988533020019531
F# (major),bEm (minor),outer_clockwise,0.8818588256835938
bEm (minor),Db (major),outer_clockwise,0.9021322727203369
Db (major),bBm (minor),outer_clockwise,0.9011760354042053
bBm (minor),Ab (major),outer_clockwise,0.8449849486351013
Ab (major),Fm (minor),outer_clockwise,0.8779283165931702
Fm (minor),Eb (major),outer_clockwise,0.9150264263153076
Eb (major),Cm (minor),outer_clockwise,0.8603898882865906
Cm (minor),Bb (major),outer_clockwise,0.8821164965629578
Bb (major),Gm (minor),outer_clockwise,0.8841747045516968
Gm (minor),F (major),outer_clockwise,0.8579993844032288
F (major),Dm (minor),outer_clockwise,0.877633810043335
Dm (minor),C (major),outer_clockwise,0.8615772724151611
C7 (dominant),G7 (dominant),dominant_clockwise,0.8808514475822449
G7 (dominant),D7 (dominant),dominant_clockwise,0.860781729221344
D7 (dominant),A7 (dominant),dominant_clockwise,0.8427522778511047
A7 (dominant),E7 (dominant),dominant_clockwise,0.860200047492981
E7 (dominant),B7 (dominant),dominant_clockwise,0.9035854339599609
B7 (dominant),F#7 (dominant),dominant_clockwise,0.9140215516090393
F#7 (dominant),Db7 (dominant),dominant_clockwise,0.8493931293487549
Db7 (dominant),Ab7 (dominant),dominant_clockwise,0.893298327922821
Ab7 (dominant),Eb7 (dominant),dominant_clockwise,0.8715853691101074
Eb7 (dominant),Bb7 (dominant),dominant_clockwise,0.9073233008384705
Bb7 (dominant),F7 (dominant),dominant_clockwise,0.9111666679382324
F7 (dominant),C7 (dominant),dominant_clockwise,0.8571909070014954
Cdim (dim),Gdim (dim),dim_clockwise,0.7275198101997375
Gdim (dim),Ddim (dim),dim_clockwise,0.7048201560974121
Ddim (dim),Adim (dim),dim_clockwise,0.7428147196769714
Adim (dim),Edim (dim),dim_clockwise,0.6727806329727173
Edim (dim),Bdim (dim),dim_clockwise,0.7752120494842529
Bdim (dim),F#dim (dim),dim_clockwise,0.7572501301765442
F#dim (dim),Dbdim (dim),dim_clockwise,0.736262321472168
Dbdim (dim),Abdim (dim),dim_clockwise,0.6771386861801147
Abdim (dim),Ebdim (dim),dim_clockwise,0.672809898853302
Ebdim (dim),Bbdim (dim),dim_clockwise,0.6391623616218567
Bbdim (dim),Fdim (dim),dim_clockwise,0.7663797736167908
Fdim (dim),Cdim (dim),dim_clockwise,0.8022646903991699
C (major),Am (minor),major_to_minor,0.8939528465270996
Am (minor),G7 (dominant),minor_to_dominant,0.8437901139259338
E7 (dominant),Am (minor),dominant_to_minor,0.8455230593681335
G7 (dominant),C (major),dominant_to_major,0.8846480846405029
Cdim (dim),F7 (dominant),dim_to_dominant,0.7340999841690063
G (major),Em (minor),major_to_minor,0.8592206835746765
Em (minor),D7 (dominant),minor_to_dominant,0.7954961061477661
B7 (dominant),Em (minor),dominant_to_minor,0.8540019392967224
D7 (dominant),G (major),dominant_to_major,0.888224720954895
Gdim (dim),C7 (dominant),dim_to_dominant,0.6776171326637268
D (major),Bm (minor),major_to_minor,0.838149905204773
Bm (minor),A7 (dominant),minor_to_dominant,0.8095369935035706
F#7 (dominant),Bm (minor),dominant_to_minor,0.8718007206916809
A7 (dominant),D (major),dominant_to_major,0.8742468357086182
Ddim (dim),G7 (dominant),dim_to_dominant,0.707147479057312
A (major),F#m (minor),major_to_minor,0.8474611043930054
F#m (minor),E7 (dominant),minor_to_dominant,0.8313626646995544
Db7 (dominant),F#m (minor),dominant_to_minor,0.8101314902305603
E7 (dominant),A (major),dominant_to_major,0.9079846739768982
Adim (dim),D7 (dominant),dim_to_dominant,0.7233309149742126
E (major),C#m (minor),major_to_minor,0.8953236937522888
C#m (minor),B7 (dominant),minor_to_dominant,0.8368045687675476
Ab7 (dominant),C#m (minor),dominant_to_minor,0.793830931186676
B7 (dominant),E (major),dominant_to_major,0.9178957343101501
Edim (dim),A7 (dominant),dim_to_dominant,0.7338505983352661
B (major),G#m (minor),major_to_minor,0.8972859978675842
G#m (minor),F#7 (dominant),minor_to_dominant,0.8099761605262756
Eb7 (dominant),G#m (minor),dominant_to_minor,0.8460497260093689
F#7 (dominant),B (major),dominant_to_major,0.8943580389022827
Bdim (dim),E7 (dominant),dim_to_dominant,0.7264178395271301
F# (major),bEm (minor),major_to_minor,0.8818588256835938
bEm (minor),Db7 (dominant),minor_to_dominant,0.8107077479362488
Bb7 (dominant),bEm (minor),dominant_to_minor,0.8107373118400574
Db7 (dominant),F# (major),dominant_to_major,0.8682484030723572
F#dim (dim),B7 (dominant),dim_to_dominant,0.6867228746414185
Db (major),bBm (minor),major_to_minor,0.9011760354042053
bBm (minor),Ab7 (dominant),minor_to_dominant,0.8488038778305054
F7 (dominant),bBm (minor),dominant_to_minor,0.8021659255027771
Ab7 (dominant),Db (major),dominant_to_major,0.9051762223243713
Dbdim (dim),F#7 (dominant),dim_to_dominant,0.7180483937263489
Ab (major),Fm (minor),major_to_minor,0.8779283165931702
Fm (minor),Eb7 (dominant),minor_to_dominant,0.8623642921447754
C7 (dominant),Fm (minor),dominant_to_minor,0.8291025161743164
Eb7 (dominant),Ab (major),dominant_to_major,0.8791185021400452
Abdim (dim),Db7 (dominant),dim_to_dominant,0.6565808057785034
Eb (major),Cm (minor),major_to_minor,0.8603898882865906
Cm (minor),Bb7 (dominant),minor_to_dominant,0.8563485741615295
G7 (dominant),Cm (minor),dominant_to_minor,0.8339338302612305
Bb7 (dominant),Eb (major),dominant_to_major,0.913115918636322
Ebdim (dim),Ab7 (dominant),dim_to_dominant,0.6837354898452759
Bb (major),Gm (minor),major_to_minor,0.8841747045516968
Gm (minor),F7 (dominant),minor_to_dominant,0.810157060623169
D7 (dominant),Gm (minor),dominant_to_minor,0.8451210856437683
F7 (dominant),Bb (major),dominant_to_major,0.8813883066177368
Bbdim (dim),Eb7 (dominant),dim_to_dominant,0.7010219693183899
F (major),Dm (minor),major_to_minor,0.877633810043335
Dm (minor),C7 (dominant),minor_to_dominant,0.8182461857795715
A7 (dominant),Dm (minor),dominant_to_minor,0.8528525233268738
C7 (dominant),F (major),dominant_to_major,0.8753272891044617
Fdim (dim),Bb7 (dominant),dim_to_dominant,0.7336569428443909
