source,target,relation,cosine_similarity
C (major),Am (minor),outer_clockwise,0.7823250889778137
Am (minor),G (major),outer_clockwise,0.7999144792556763
G (major),Em (minor),outer_clockwise,0.881756067276001
Em (minor),D (major),outer_clockwise,0.8478661179542542
D (major),Bm (minor),outer_clockwise,0.8030423521995544
Bm (minor),A (major),outer_clockwise,0.822796642780304
A (major),F#m (minor),outer_clockwise,0.8303449153900146
F#m (minor),E (major),outer_clockwise,0.8429901003837585
E (major),C#m (minor),outer_clockwise,0.8373026251792908
C#m (minor),B (major),outer_clockwise,0.8454856872558594
B (major),G#m (minor),outer_clockwise,0.8696211576461792
G#m (minor),F# (major),outer_clockwise,0.8766186237335205
F# (major),bEm (minor),outer_clockwise,0.8510369062423706
bEm (minor),Db (major),outer_clockwise,0.8259816765785217
Db (major),bBm (minor),outer_clockwise,0.8639097809791565
bBm (minor),Ab (major),outer_clockwise,0.839741051197052
Ab (major),Fm (minor),outer_clockwise,0.8453900814056396
Fm (minor),Eb (major),outer_clockwise,0.8151198625564575
Eb (major),Cm (minor),outer_clockwise,0.8146425485610962
Cm (minor),Bb (major),outer_clockwise,0.8167302012443542
Bb (major),Gm (minor),outer_clockwise,0.8472512364387512
Gm (minor),F (major),outer_clockwise,0.8113809823989868
F (major),Dm (minor),outer_clockwise,0.8307194113731384
Dm (minor),C (major),outer_clockwise,0.8043918013572693
C7 (dominant),G7 (dominant),dominant_clockwise,0.7258629202842712
G7 (dominant),D7 (dominant),dominant_clockwise,0.7544039487838745
D7 (dominant),A7 (dominant),dominant_clockwise,0.775946319103241
A7 (dominant),E7 (dominant),dominant_clockwise,0.7395443320274353
E7 (dominant),B7 (dominant),dominant_clockwise,0.6515512466430664
B7 (dominant),F#7 (dominant),dominant_clockwise,0.7015978693962097
F#7 (dominant),Db7 (dominant),dominant_clockwise,0.7977892160415649
Db7 (dominant),Ab7 (dominant),dominant_clockwise,0.8642709851264954
Ab7 (dominant),Eb7 (dominant),dominant_clockwise,0.7981969714164734
Eb7 (dominant),Bb7 (dominant),dominant_clockwise,0.8582493662834167
Bb7 (dominant),F7 (dominant),dominant_clockwise,0.7511369585990906
F7 (dominant),C7 (dominant),dominant_clockwise,0.6838551759719849
Cdim (dim),Gdim (dim),dim_clockwise,0.7899749875068665
Gdim (dim),Ddim (dim),dim_clockwise,0.7707989811897278
Ddim (dim),Adim (dim),dim_clockwise,0.8220838904380798
Adim (dim),Edim (dim),dim_clockwise,0.7714591026306152
Edim (dim),Bdim (dim),dim_clockwise,0.8570160269737244
Bdim (dim),F#dim (dim),dim_clockwise,0.8379082679748535
F#dim (dim),Dbdim (dim),dim_clockwise,0.7765177488327026
Dbdim (dim),Abdim (dim),dim_clockwise,0.8050270080566406
Abdim (dim),Ebdim (dim),dim_clockwise,0.7604921460151672
Ebdim (dim),Bbdim (dim),dim_clockwise,0.8066091537475586
Bbdim (dim),Fdim (dim),dim_clockwise,0.7543503046035767
Fdim (dim),Cdim (dim),dim_clockwise,0.7798666954040527
C (major),Am (minor),major_to_minor,0.7823250889778137
Am (minor),C7 (dominant),minor_to_dominant,0.5947644114494324
C7 (dominant),C (major),dominant_to_major,0.7446469068527222
Am (minor),Cdim (dim),minor_to_dim,0.4563907980918884
G (major),Em (minor),major_to_minor,0.881756067276001
Em (minor),G7 (dominant),minor_to_dominant,0.6583589315414429
G7 (dominant),G (major),dominant_to_major,0.6826499104499817
Em (minor),Gdim (dim),minor_to_dim,0.4855021834373474
D (major),Bm (minor),major_to_minor,0.8030423521995544
Bm (minor),D7 (dominant),minor_to_dominant,0.6431021690368652
D7 (dominant),D (major),dominant_to_major,0.7857736945152283
Bm (minor),Ddim (dim),minor_to_dim,0.5113827586174011
A (major),F#m (minor),major_to_minor,0.8303449153900146
F#m (minor),A7 (dominant),minor_to_dominant,0.6338792443275452
A7 (dominant),A (major),dominant_to_major,0.6690416932106018
F#m (minor),Adim (dim),minor_to_dim,0.5603516101837158
E (major),C#m (minor),major_to_minor,0.8373026251792908
C#m (minor),E7 (dominant),minor_to_dominant,0.6820485591888428
E7 (dominant),E (major),dominant_to_major,0.7697676420211792
C#m (minor),Edim (dim),minor_to_dim,0.5254716873168945
B (major),G#m (minor),major_to_minor,0.8696211576461792
G#m (minor),B7 (dominant),minor_to_dominant,0.7238081693649292
B7 (dominant),B (major),dominant_to_major,0.767076849937439
G#m (minor),Bdim (dim),minor_to_dim,0.5302295088768005
F# (major),bEm (minor),major_to_minor,0.8510369062423706
bEm (minor),F#7 (dominant),minor_to_dominant,0.6498899459838867
F#7 (dominant),F# (major),dominant_to_major,0.7561269402503967
bEm (minor),F#dim (dim),minor_to_dim,0.49030786752700806
Db (major),bBm (minor),major_to_minor,0.8639097809791565
bBm (minor),Db7 (dominant),minor_to_dominant,0.7518842220306396
Db7 (dominant),Db (major),dominant_to_major,0.8475982546806335
bBm (minor),Dbdim (dim),minor_to_dim,0.4404977560043335
Ab (major),Fm (minor),major_to_minor,0.8453900814056396
Fm (minor),Ab7 (dominant),minor_to_dominant,0.6687278747558594
Ab7 (dominant),Ab (major),dominant_to_major,0.7473042011260986
Fm (minor),Abdim (dim),minor_to_dim,0.5053340792655945
Eb (major),Cm (minor),major_to_minor,0.8146425485610962
Cm (minor),Eb7 (dominant),minor_to_dominant,0.7521138191223145
Eb7 (dominant),Eb (major),dominant_to_major,0.8069071173667908
Cm (minor),Ebdim (dim),minor_to_dim,0.5066407322883606
Bb (major),Gm (minor),major_to_minor,0.8472512364387512
Gm (minor),Bb7 (dominant),minor_to_dominant,0.7556220293045044
Bb7 (dominant),Bb (major),dominant_to_major,0.8103711009025574
Gm (minor),Bbdim (dim),minor_to_dim,0.5739601254463196
F (major),Dm (minor),major_to_minor,0.8307194113731384
Dm (minor),F7 (dominant),minor_to_dominant,0.6701186299324036
F7 (dominant),F (major),dominant_to_major,0.752118706703186
Dm (minor),Fdim (dim),minor_to_dim,0.5585504770278931
